no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
1,1,19,Y(Y),6,N,Y,0.6857,0.3157,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
2,2,18,Y(Y),6,N,Y,0.8035,0.9736,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
3,3,15,Y(Y),6,Y,Y,0.9357,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
4,4,8,Y(Y),6,N,Y,0.8285,0.8421,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
5,5,5,Y(Y),6,Y,Y,0.9035,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
6,6,1,Y(Y),6,Y,Y,0.9642,0.7894,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
7,7,1,Y(Y),6,Y,Y,0.8357,0.8421,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
8,8,1,Y(Y),6,Y,Y,0.8285,1,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
9,9,1,Y(Y),6,Y,Y,0.7777,0.8333,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
10,10,1,Y(Y),6,Y,N,1,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
11,11,1,Y(Y),6,N,Y,0.9047,1,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
12,12,1,Y(Y),6,N,Y,0.7571,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
13,13,1,Y(Y),6,N,Y,0.7214,0.6315,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
14,14,1,Y(Y),5,N,Y,0.8428,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
15,15,1,N(N),6,Y,Y,0.9714,0.7894,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
16,16,1,N(N),6,Y,Y,0.8666,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2025,1,박영준,박영준,"월2,3,4",30.0,24.0,4.75,16.0
